h|modq|htext|ismod|desc
quotes|False| **Send** `!quote` anywhere on the server (except threads), for Ed Witten to send you a randomized quote said by a student or professor at UofT. To see a specific quote, type `!quote;n` where n is the index of the quote as shown in `!showquotes`. You can see the last n+1th quote via `!quote;-n`. E.G. `!quote;-0` to see the last quote. \n\n **To see** the list of quotes type `!showquotes` (preferably in a bot commands channel, as the list is rather long). Use `!showquotes;year` (e.g. `!showquotes;2024`) to filter by a specific school year, or `!showquotes;all` for all quotes. By default `!showquotes` shows quotes from the current year. \n\n **To add** a quote to the list, type `!addquote;quote here;person being quoted;date`. The date should include at least the year but otherwise has no specific format. | **To delete** a quote, check its index in `!showquotes` and type `!delquote;n` where n is the index of the quote you want to delete. | Commands to interact with famous PhySU quotes
tmes|True|**The** `!stmes` command allows you to send a message in a specified channel at a specified time in the future (\pm 5 minutes). \n\n **To do** so, you must first obtain the channel id. Enable developer mode in Advanced settings of your Discord. Then right click on the channel you want to send the message to and you should have the option to Copy ID. \n\n **The** command is as follows: `!stmes;dd.mm.yy;hh:mm;channel id;text` \n\n **Where** `dd.mm.yy` is the date in the appropriate format, `hh:mm` is the time in 24 hour format, `channel id` is the ID obtained through the method mentioned above, and `text` is the message you want to send. \n\n **To see** all scheduled messages type `!showtmes`. \n\n **To delete** a scheduled message type `!deltmes;n` where n is the index shown in `!showtmes`. | (Messages must be one line and cannot contain images.) | Exec only: Send messages in the future
sendm|True|**Type** `!sendm;` followed by a message for Ed Witten to send it into the same channel. This can include images/videos as well as multiple lines of text. | `` | Exec only: Have Ed say something here and now
amogus|False| **Type** `!amogus` to view a message approved by the 2022-2023 exec team. | `` | Vibes
bestie|False| **Type** `!bestie` to see the number of times "So true bestie" has been said on the server since September 2022. | `` | "So true bestie" counter
removecourseroles|False| **Type** `!removecourseroles` to have all of your course roles removed. | `` | Remove all your course roles
delcat|True| **Type** `!delcat_categoryname` to delete the category with the given name (including all channels inside it). | `` | Removes a category and all its channels
newyearcat|True| **Type** `!newyearcat` to create the Math Courses, PHY 100/200/300/400 level courses, and other course categories, and move the channels with Carl-bot reaction roles into them. | `` | Sets up course categories for a new year
createcourses|True| **Type** `!createcourses [course codes]` to create course channels in the appropriate course categories. Example: `!createcourses PHY152 MAT157 AST100` will create channels accessible only by members with the appropriate role in the Math Courses, PHY Courses-100 level, and Astro Courses categories. | `` | Create individual course channels
setupcourses|True| **Type** `!setupcourses;[courses.csv];[messageids.csv]` to bulk-create course channels and roles from a CSV file and update Carl-bot reaction role messages. `courses.csv` should contain one course code per line. `messageids.csv` should map category names to Carl-bot message IDs. | `` | Bulk course setup from a CSV file
purgechannel|True| **Type** `!purgechannel` to delete up to 200 messages in the default refresh channel. | If you want to delete messages in a different channel, type `!purgechannel;[channel id];[number of messages to delete]`. To delete n messages in the current channel, type `!purgechannel;n`. | Purge messages in a channel
books|False|**Type** `!books` or `!showbooks` to see the list of all books available on the PhySU bookshelf. \n\n If you want to **search by author** type `!books;Author;your author name`. \n If you want to **search by title** type `!books;Title;your title`. \n If you want to **search by tags** type `!books;Tags;your tag`. \n\n If you are a member of the **Bookshelf Committee** and want to: \n **Add** a book type `!addbook;Book Title;Book Author;Tags separated by commas`. \n **Remove** a book type `!removebook;n` where n is the number of the book as shown on `!showbooks`. \n **Add a tag** to a book type `!addbooktag;n;New Tag` where n is the index of the book on `!books`. \n **Replace tags** of a book type `!replacebooktags;n;new tags separated by commas` where n is the index of the book on `!books`. | `` | See books available in PhySU
colloquia|False|**Type** `!colloquia` to see the list of upcoming PhySU colloquia. \n **Type** `!archivedcolloquia` to see the list of past PhySU colloquia. \n\n If you are a member of the **Colloquium Committee** and want to: \n **Add** an upcoming colloquium type `!addcolloquium;Title;Speaker Name;dd.mm.yy;hours:minutes;Room Number`. \n **Remove** an upcoming colloquium type `!removecolloquium;n` where n is its number as shown on `!colloquia`. | `` | See the PhySU Colloquium Series
archivecat|True| **Type** `!archivecat_nameOfCategoryToArchive_nameOfArchiveCategory` to archive a category. This changes permissions so the archived category is only visible to mods. | `` | Archive a category
events|False| **Type** `!events` to see the next 10 upcoming PhySU events from the calendar. Type `!events;n` to see the next n events instead. | `` | See upcoming PhySU events
EdGPT|False| **Type** `!EdGPT [message]` to chat with Ed Witten, the AI. Ed can answer physics questions, offer opinions, and engage in casual conversation. You can also reply to any of Ed's messages to continue the conversation without the prefix. | `` | Chat with Ed Witten AI
edtime|False| **Type** `!edtime` to check the current server time. | `` | Check the current server time
fortune|False| **Type** `!fortune [question]` and Ed Witten will help you make important life decisions. | `` | Ask Ed for guidance
removeohio|False| **Type** `!removeohio` to remove Ohio from your world. | `` | Important utility command
courseSetupInstructions|True| This command gives you a link to the instructions for setting up course channels. Link: https://www.overleaf.com/read/xxywzkjngbbz#7b2abe | `` | Instructions for making course channels
