Title|Author|Tags
Introduction to Electrodynamics|Griffiths, David|Physics, Electromagnetism
Analysis on Manifolds|Munkres, John|Math, Analysis
Calculus|Spivak, Michael|Math, Analysis
Classical Mechanics|Goldstein Poole & Safko|Physics, classical mechanics
Concepts of Modern Physics|Arthur Beiser|Physics, Overview of Modern Physics
Complex Variables|Stephen D. Fisher|Math, complex analysis
International Series in Pure and Applied Physics|Evans, Robley|Physics, Atomic/Nuclear Physics
Complex Variables, Schaum's Notes|Murray R.Spiegel|Math, Complex Analysis
Introductory Complex Analysis & Applications|William R. Derrick|Math, Complex variables
Physics for Scientists and Engineers with Modern Physics|Randal D.Knight|Physics, Foundations
College Physics: A Strategic Approach|Knight, Jones, and Field|Physics, Foundations
Who got Einstein's Office|ED Regis|Physics History, IAS History
Schaum's Online Series: Theory and Problems of College Physics|Schaum, Daniel|Physics, Foundations
Physics for Scientists and Engineers with Modern Physics|Hawks, IQBAL, Mansour, Milner-Bolotin, Williams|Physis, Foundations
Grad School Shopper Graduate Programs in Physics, Astronomy and Related Fields|AIP|Physics, Graduate School
Theory of Relativity|W. Pauli|Physics, Special relativity
Physics for Scientists and Engineers: A Strategic Approach|Knight, Randall|Physics, First Year Physics
An Introduction to Mechanics|Kleppner/Kolenkow|Physics, Classical Mechanics(with SR)
Elementary Classical Physics, Volume1|Richard T.Weidner, Robert L.Sells|Physics, E&M, Optics
Principles and Practice of Physics (Vol. 1)|Mazur, Eric|Physics, Foundations
Special Relativity|A.P. French|Physics, special relativity
Physics: Principles with Applications|Giancoli, Douglas|Physics, Foundations
Moder Physics for the Engineer|Louis N.Ridenour|Engineer, E&M, Atomic, Information, Particle
Elementary Classical Physics, Volume 2|Richard T.Weidner, Robert L.Sells|Physics, Classical Mechanics, Thermodynamics
Physics|Douglas C. Giancoli|Physics, First Year Physics
Principles and Practice of Physics (Vol. 2)|Mazur, Eric|Physics, Foundations
Fundamentals of Physics|Walker, Jearl|Physics, Foundations
Vibrations and Waves|A.P.French|Physics, Waves
Relativity Demystified|David McMahon|Physics, Special relativity
Introduction to Linear Algebra with Applications|Friedberg/Insel|Math, Linear Algebra
Classical Mechanics|A. Douglas Davis|Physics, Classical Mechanics (LG)
College Physics|Etkina, Gentile, Van Heuvelen|Physics, First Year Physics
Asymptotic Approximations of Integrals|R.Wong|Computational, Computational Physics
Schaum's Outline Series: Theory and Problems of Linear Algebra|Lipschutz, Seymour|Math, Linear Algebra
Introduction to Experimental Particle Physics|Richard Fernow|Physics, EHEP, Experiment
The Theory of Matrices in Numerical Analysis|Alston S. Householder|Math, Numerical Analysis
Essentials of Physics|Brorowitz/Beiser|Physics, Foundations
Experimental College Physics|Marsh William White|Physics, Classical, E&M, Molecular, Optics, Sound, Experiment
Energy|Robert H. Romer|Physics, Foundations
Schaum's Online Series: Theory and Problems of Physical Chemistry|Metz, Clyde|Physics, Physical Chemistry
The World of Science|F.Sherwood Taylor|Science, Science Overview
Solid-State and Semiconductor Physics|McKelvey, John|Physics, Condensed Matter
Elementary Numerical Analysis (an algorithmic approach)|S. D. Conte|Math, Computational, numerical analysis
Counterexamples in Topology|Lyan Arthur Steen and J.Arthur Seebach|Math, Topology
Preparatory Physics|Hopkins, William|Physics, Foundations
Lie Groups,An Introduction Through Linear Groups|Wulf Rossmann|Math, Lie Groups
Classoical Electricity and Magnetism|Panofsky, Phillips|Classical Physics, E&M
Theoretical Solid State Physics (Volume 1)|Haug, Albert|Physics, Condensed Matter
Numerical Solutions of Differential Equations|H. Levy & E. A. Baggott|Math, Numerical Analysis
Modern Probability Theory and Its applications|Emanuel Parzen|Math, Probability
Electromagnetism and Relativity|E. P. Ney|Physics, E&M
Number Theory|George E. Andrews|Math, Number Theory
Modern Solid State Physics: Phonons and their Interactions|Ends/Haering|Physics, Condensed Matter
Symmetry Groups Theory and Chemical Applications|R.L.Flurry, Jr.|Math, Group Theory
Ordinary Differential Equations (An Elementary Textbook for Students of Mathematics, Engineering, and the Sciences)|Morris Tenenbaum & Harry Pollard|Math, Ordinary Differntial Equations
Pauli Lectures on Physics|Wolfgang Pauli|Physics , E&M
Superconductivity|Ketterson/Song|Physics, Condensed Matter
Riemann, Topology and Physics|Michael Monastyrsky|Popular Science, Topology, Condensed Matter
Electrodynamics and Classical Theory of Fields and Particles|A. O. Barut|Theoretical Physics , Classical Theory
Naive Set Theory|Paul R.Halmos|Math, Set Theory
Reduced Magnetic Moments in f-electron Compounds|Mentik, S|Physics, Condensed Matter
Differential Equations and Their Applications: An Introduction to applied Mathematics|M. Braun|Maths, Ordinary Differential Equations
MAT138|UofT|Math, Proofs
Electrodynamics of Continuous Media|Landau, Lifshitz|Physics, Landau
A Course of Pure Mathematics|G.H. Hardy|Math, Analysis
A Guide to Feynman Diagrams in the Many-Body Problem|Mattuck, RD|Physics, Condensed Matter
Differential Geometry Volume 1|Michael Spivak|Math, Differential Geometry
The Numerical Solution of Two-Point Boundary Problems In Ordinary Differential Equations|L. Fox|Math, Ordinary Differential Equations
States of Matter|Goodstein, David|Physics, Condensed Matter
Complex Variables|Stephen D.Fisher|Math, Complex Analysis
Labview Data Acquisition VI Reference Manual|National Instruments|Computational, LabView
Introduction to Electrodynamics|Griffiths|Physics , E&M
Paramagnetic Resonance|Pake, George|Physics, Condensed Matter
Labview QuickStart Guide|National Instruments|Computational, LabView
Labview User Manual|National Instruments|Computational, LabView
Differential Equations|Max Morris & Orley E. Brown|Math, Ordinary Differential Equations
Introduction to Superconductivity|Michael Tinkham|Physics, Condensed Matter,Practical Physics
Introduction to the Physics of Many-Body Systems|D. Ter Haar|Physics , Condensed Matter
The Nature of Chemical Bond|Pauling, Linus|Physics, AMO
A Course on Partial Differential Equations|Walter Craig|Math, Ordinary Differential Equations
Practical Physics|G.L.Squires|Physics, Experiment
Answer Book for Calculus|Michael Spivak|Math, Analysis I
International Series in Pure and Applied Physics: Quantum Theory of Atomic Structure|Slater|Physics, AMO
Student Solutions Manual|Jeff Sanny & William Moebs|???
Solution to Selected Problems From Physics|Richard Wolfson & Jay M. Pasachoff|Physics, Introduction to Physics
Atomic Hydrogen and the Surface of Liquid Helium|J. J. Berkhout|Physics, AMO
Nuclear Theory|Sauces|Physics, AMO
Modern Quantum Mechanics|J.J.Sakurai|Physics,  Quantum Mechanics
An Introduction to Solid State Physics and Its Applications|R. J. Elliott, A. F. Gibson|Physics, Condensed Matter
Giant Molecules|Grosberg/Khokhlov|Physics, AMO
Quanta|J.Andrade e Silva & G. Lochak|Physics, Popular Science, Quantum
Earthlike Planets: Surfaces of Mercury, Venus, Earth, Moon, Mars|Murray/Malin/Greeley|Physics, Astrophysics
Problems in Quantum Mechanics|I.I.Gol'dman and V.D.Krivchenkov|Physics, Quantum
Physics for Scientists and Engineers|Raymond A. Serway & John W. Jewett, Jr.|Physics, Introduction to Physics
Quantum Theory|Donald H. Menzel|Physics, Quantum
Stars|Kaler, James|Physics, Astrophysics
Superfluidity and Superconductivity|D. R. Tilley, J. Tilley|Physics, Condensed Matter
An Introduction to Modern Astrophysics|Carroll/Ostile|Physics, Astrophysics
Quantum Mechanics|LeonardI.Schiff|Physics, Quantum
Principles of the Theory of Solids|J. M. Ziman|Physics,Theoretical Physics
Lecture Notes and Supplemenets in Physics|Hans A. Bethe, Roman Jackiw|Physics,Quantum Mechanics
Physics for Scientisits and Engineers: An Interactive Approach|Hawkes, Iqbal, Mansour, Milner-Bolotin, Williams|Physics,Foundations
Introduction to Geometrical and Physical Optics|Morgan, Joseph|Physics,AMO
PHY256 Custom Edition|David J.Griffiths|Physics,Quantum Mechanics
Solutions Manual,Electricity and Magnetism, Vol1|E.M.Purcell|Physics,E&M, Solutions
Solutions Manual,Electricity and Magnetism,Vol2|E.M.Purcell|Physics,E&M, Solutions
Linear Algebra with Applications|Nicholson, W. Kieth|Physics,Linear Algebra
Principles & Practice of Physics|Eric Mazur|Physics,Foundations
Quantum Electro-Dynamics|A.A.Sokolov, I.M.Ternov, V.Ch.Zhukovskii, A.V.Borisov|Physics,QFT
Quantum Theory of Physics|C. Kittel|Physics,Quantum Theory - Solids
Light|Ditchburn, RW|Physics,AMO
Quantum Field Theory|F.Mandl, G.Shaw|Physics,QFT
Laser Spectroscopy|McKellar/Stoicheff|Physics,AMO
Selected Papers on Quantum Electrodynamics|editor: Julian Schwinger|Physics,QFT
The Electrical and Magnetic Properties of Solids|N. Cusack|Physics,Condensed Matter
Tunneling in Solids|Duke, CB|Physics,Condensed Matter
Student Workbook, Physics For Scientists and Engineers|Randall D.Knight|Physics,First Year
Physics Demystified|Stan Gibiliisco|Physics, Introduction to Physics
Computers Pattern Chaos and Beatue, Graphics from an Unseen World|Clifford A.Pickover|Computational
The Fermi Surface|???|Physics,Condensed Matter
Solid State Physics|UofT, S. H. Vosko|Physics,Condensed Matter
Physics Modeling For Game Programmers|David Conger|Computational
Computer Organization|V.Carl Hamacher, Zvonko G. Vranesic, Safwat G.Zaky|Computational
Elements of Solid State Theory|Gregory H. Wannier|Physics ,Theoretical
Mechanics|Charles Kittel, Wlter D. Knight, Malvin A. Ruderman|Physics,Mechanics
Fundamentals of Modern Physics|Eisberg, Robert|Physics,Modern Physics
Explorations in Quantum Computing|Colin P.Williams, Scott H. ClearWater|Physics,Quantum Computing
The Physics of Vibrations and Waves|H. J. PAIN|Physics,Classical Mechanics
From Physical Concept to Mathematical Structure: An Introduction to Theoretical Physics|Trainor/Wise|Physics,Modern Physics
Exploring Complexity an Introduction|???|Math,Chaos
Basic concepts of Physics|Arthur Beiser|Physics,Mechanics
International Series in Pure and Applied Physics: Introduction to Modern Physics|Richtmyer/Kennard|Physics, Modern Physics
Information-Based Complexity|Joseph F. Traub, G.W.Wasilkowski, H.Wozniakowski|Computational
Practical Programming An Introduction to Computer Science Using Python 3.6|Paul Gries, Jennifer Campbell, Jason Montojo|Computational
Cambridge Monnographs on Physics: Surface Tension And The Spreading of Liquids|R. S. Burdon|Physics,Engineering
Introduction to Dynamics|Ian Percival & Derek Richards|Math Computation,Classical Mechanics
Universal Compression and Retrieeval|Rafail Krichevsky|Math Computation,Computational
International Series in Pure and Applied Physics: Introduction to Modern Physics|Richtmyer/Kennard|Physics,Modern Physics
Computers and the Imagination|Ckuffird A.Pickover|Computer Science
The Stars: their structure and evolution|Tayler, RJ|Physics,Astrophysics
Coming of Age with QUantum Information|Christopher A.Fucks|Physics,Quantum Computing
Science in Space|Berliner/Odishaw|Physics,Astrophysics
Mechanics of Material|Roy R. Craig,  Jr|Physics,Materials Science and Engineering
Stochastic Processes in Physics and Chemistry|N.G. Van Kampen|Physics, Chemistry,Differential Equations, Chaos
Introduction to Electrodynamics|Griffiths, David|Physics,Electromagnetism
Randomness & Undecidability in Physics|Karl Svozil|Physics, Computation
Introductory Topics in Theoretical Physics|Roald K. Wangsness|Physics,Thermodynamics
Introduction to Special Relativity|Rindler, Wolfgang|Physics,Electromagnetism
An Introduction to Thermodynamics, The Kinetic Theory of Gases, and Statistical Mechanics|Francis Weston Sears|Physics,Thermodynamics, Statistical Physics
Elementary Statistical Physics|C. Kittel|Physics,Thermodynamics
Science and Ultimate Reality: Quantum Theory, Cosmology and Complexity|Barrow/Davies/Harper|Physics,Quantum
Trigonometry DeMystified|Stan Gibilisco|Math,Preparatory Math
Analytical Mechanics|Fowles & Cassiday|Physics,Mechanical Physics
The Fractional Calculus (Theory and Applications of Differentiation and Integration to Arbitrary Order)|Keith B.Oldham and Jerome Spanier|Math,Analysis
Noise and Fluctuations: An Introduction|MacDonald, DKC|Physics,Experimental
Study Guide for Vector Calculus|Jerrold E. Marsden and Antony J. Tromba|Math,Calculus
The Fourier Integral and Certain of Its Applications|Norbert Wiener|Physics,Calculus
Perspectives of nonlinear dynamics 1|Jackson, E|Physics,Classical Mechanics
Multivariable Calculus|James Stewart|Math,Calculus
Principles of Mechanics|Synge/Griffith|Physics,Classical Mechanics
